,college_name,tcs_region
1054,Sree Buddha College of Enginering pattoor,Trivandrum
1057,"Bannari Amman College, Coimbatore",Chennai
1060,TECHNO INDIA - BANIPUR,Kolkata
1067,GUJARAT TECHNOLOGICAL UNIVERSITY - AHEMDABAD,Ahmedabad
1069,Amity School of Engineering and Technology Amity University Gurgaon,Delhi
1076,"Karpagam College of Engineering, Coimbatore",Chennai
1082,S.K.R Engineering College Poonamalle,Chennai
1084,"Vidya Academy of Science and Technology, Thrissur",Trivandrum
1096,sipna college of engineering and technology amravati,Pune
1100,Mahakal Institute of Technology,Mumbai
1114,northern india india college delhi,Delhi
1126,Jaipur national university,Delhi
1132,"Indira Institute of Management, Pune",Pune
1135,Guru Nanak Institute of Technology,Kolkata
1136,"J. N. Technology Institute, Anantapur",Hyderabad
1157,Sree Buddha College Of Engineering Pattoor,Trivandrum
1160,College of Engineering Kidangoor,Trivandrum
1161,"Guru Tegh Bahadur Institute of Technology, Delhi",Delhi
1162,Bengal Engineering and Science University,Kolkata
1165,Bangalore Instt. of Technology,Bangalore
1168,Bankura Unnayani Institute of Engineering,Kolkata
1171,"Indian Institute Of Technology, Hyderabad",Hyderabad
1181,"Rajiv Gandhi Institute of Technology, Andheri, Mumbai",Mumbai
1185,National Institute of Engineering Mysore,Bangalore
1190,NIT Agartala,Kolkata
1199,College of Engineering Pathanapuram,Trivandrum
1207,"Bharat Institute of Technology, Meerut",Delhi
1212,RAJASTHAN TECHNICAL UNIVERSITY - KOTA,Ahmedabad
1213,Greater Noida institute of technology,Delhi
1215,TocH Institute Of Science And Technology,Trivandrum
1216,"Moradabad Institute of Tech, Moradabad",Delhi
1221,"BP Poddar Inst for Engg & Mgmt, Kolkata",Kolkata
1227,"D.K.T.E. Society's Textile & Engineering Institute, Ichalkaranji",Pune
1232,"Sant Longowal Instt. of Engg. & Tech., Longowal",Delhi
1233,pranveer singh institute of technology,Lucknow
1235,PSIT Bhauti Kanpur,Lucknow
1236,IIT - Delhi,Delhi
1237,St Martins Engineering College,Hyderabad
1254,"J. N. Technological Univ, Hyderabad",Hyderabad
1261,SRIRAM ENGINEERING COLLEGE - CHENNAI,Chennai
1268,GREATER NOIDA INSTITUTE OF TECHNOLOGY,Delhi
1274,Graphic Era Institute of Technology,Delhi
1276,Acropolis Technical Campus,Mumbai
1284,Babaria Institute of Technology,Ahmedabad
1317,"Maharishi Arvind Inst.Of Science & Mngt, University of Rajasthan",Delhi
1319,jecrc university,Delhi
1321,"Rajarshi Sahu College of Engineering, Pune",Pune
1328,"M. Kumarasamy College of Engineering, Karur",Chennai
1333,"V.S.B. Engineering College, Karur",Chennai
1337,"K. J. Somaiya College of Engineering, Mumbai",Mumbai
1342,"Datta Meghe College of Engg, Navi Mumbai",Mumbai
1351,"Crescent Engineering College, Chennai",Chennai
1355,Punjabi University - Patiala,Delhi
1359,"Adi Shankara Institute of Engineering & Technology, Ernakulam",Trivandrum
1361,Future Institute of Engg & Mgmt,Kolkata
1364,"St. Francis Inst. of Tech, Borivali",Mumbai
1372,St.Thomas College of Engg. Kolkatta,Kolkata
1375,"Govt. College of Engg., Aurangabad.",Pune
1387,"Srkr Engg. College,Bhimavaram",Hyderabad
1388,"Sikkim Manipal Instt of Technology, Rangpo - East Sikkim",Kolkata
1391,Saintgits College of Engineering,Trivandrum
1397,Govt. College of Engineering - Karad,Pune
1402,"College of Engineering, Kidangoor",Trivandrum
1433,Seacom Engineering College,Kolkata
1444,Central University of Hyderabad,Hyderabad
