,college_name,college_name_modified,tcs_region,tcs_region_modified
338,Sri Sai Ram Engineering College,Sri Sai Ram Engineering College,Chennai,Chennai
339,"Gandhi Institute of Engineering and Technology, Gunpur","Gandhi Institute of Engineering and Technology, Gunpur",Kolkata,Kolkata
344,"G B Pant Engg College, Garhwal Univ","G B Pant Engg College, Garhwal Univ",Delhi,Delhi
357,Delhi University,Delhi University,Delhi,Delhi
358,Narula Institute of Technology,Narula Institute of Technology,Hyderabad,Hyderabad
362,Babu Banarsi Das National Institute of Technology,Babu Banarsi Das National Institute of Technology,Lucknow,Lucknow
363,"University Institute of Technology, Burdwan","University Institute of Technology, Burdwan",Kolkata,Kolkata
367,"Integral University, Lucknow","Integral University, Lucknow",Lucknow,Lucknow
368,"Hitkarni COE, Jabalpur","Hitkarni COE, Jabalpur",Mumbai,Mumbai
370,SASTRA University,SASTRA University,Chennai,Chennai
372,"Rollwala Computer Centre, Ahmedabad","Rollwala Computer Centre, Ahmedabad",Ahmedabad,Ahmedabad
377,"MCKV Institute of Engineering,Howrah","MCKV Institute of Engineering,Howrah",Kolkata,Kolkata
382,"Velammal Engg College, Anna University","Velammal Engg College, Anna University",Chennai,Chennai
384,"Datta Meghe College of Engg, Navi Mumbai","Datta Meghe College of Engg, Navi Mumbai",Mumbai,Mumbai
386,"Chaitanya Bharati Institute of Technology, Hyderabad","Chaitanya Bharati Institute of Technology, Hyderabad",Hyderabad,Hyderabad
396,"MEERUT INSTITUTE OF TECHNOLOGY, MEERUT","MEERUT INSTITUTE OF TECHNOLOGY, MEERUT",Delhi,Delhi
397,Oriental Institute of Science,Oriental Institute of Science,Mumbai,Mumbai
400,"Ramrao Adik Institute of Technology,Nerul","Ramrao Adik Institute of Technology,Nerul",Mumbai,Mumbai
402,Institute of Technology ­ Durg,Bhilai Institute of Technology ­ Durg,Bhilai,Mumbai
404,"A D Patel Institute of Technology, Anand","A D Patel Institute of Technology, Anand",Ahmedabad,Ahmedabad
405,"MANAKULA VINAYAGAR INSTITUTE OF TECHNOLOGY, PONDICHERRY","MANAKULA VINAYAGAR INSTITUTE OF TECHNOLOGY, PONDICHERRY",Chennai,Chennai
411,"RMK Engg Coll, Anna Univ.Kavaraipettai Maharaj Vijayaram Gajapathi Raj College of Engineering","RMK Engg Coll, Anna Univ.Kavaraipettai Maharaj Vijayaram Gajapathi Raj College of Engineering",Chennai,Chennai
412,"(MVGR), Vizianagaram","(MVGR), Vizianagaram",Hyderabad,Hyderabad
413,Ganesh Lal Bajaj Institute of Technology,Ganesh Lal Bajaj Institute of Technology,Delhi,Delhi
416,Kalinga Institute of Industrial,Kalinga Institute of Industrial,Kolkata,Kolkata
418,Indraprastha Institute of Information Technology,Indraprastha Institute of Information Technology,Delhi,Delhi
419,"SARDAR VALLABHBHAI PATEL INSTITUTE OF TECHNOLOGY, VASAD","SARDAR VALLABHBHAI PATEL INSTITUTE OF TECHNOLOGY, VASAD",Ahmedabad,Ahmedabad
421,Christ University Faculty of Engineering,Christ University Faculty of Engineering,Bangalore,Bangalore
427,Marri Laxman Reddy Institute of Technology,Marri Laxman Reddy Institute of Technology,Hyderabad,Hyderabad
428,Srinivasa Ramanujan Institute Of Technology,Srinivasa Ramanujan Institute Of Technology,Hyderabad,Hyderabad
429,"Bhaskaracharya College of Applied Sciences, University of Delhi","Bhaskaracharya College of Applied Sciences, University of Delhi",Delhi,Delhi
430,Arya College of Engineering,Arya College of Engineering,Delhi,Delhi
432,"Hansraj Collge, University of Delhi","Hansraj Collge, University of Delhi",Delhi,Delhi
436,Sree Vidyanikethan Engg College­Tirupati,Sree Vidyanikethan Engg College­Tirupati,Hyderabad,Hyderabad
437,"Bannari Amman College, Coimbatore","Bannari Amman College, Coimbatore",Chennai,Chennai
440,Shah,Shah,Mumbai,Mumbai
444,"Babu Banarasi Das Engineering College, Lucknow","Babu Banarasi Das Engineering College, Lucknow",Lucknow,Lucknow
447,"Rashtrasant Tukadoji Maharaj, Nagpur University","Rashtrasant Tukadoji Maharaj, Nagpur University",Mumbai,Mumbai
458,jecrc university,jecrc university,Delhi,Delhi
462,United College of Engg,United College of Engg,Lucknow,Lucknow
463,"Sri Sivasubramania Nadar COE, Kalavakkam","Sri Sivasubramania Nadar COE, Kalavakkam",Chennai,Chennai
465,"Centre for Development of Advanced Computing (C­DAC) , Noida","Centre for Development of Advanced Computing (C­DAC) , Noida",Delhi,Delhi
466,"Technocrat Institute of Technology, Bhopal","Technocrat Institute of Technology, Bhopal",Mumbai,Mumbai
470,"Govt. Polytechnic, Warangal","Govt. Polytechnic, Warangal",Hyderabad,Hyderabad
476,Sarvajanik College of Engg.,Sarvajanik College of Engg.,Ahmedabad,Ahmedabad
478,"Maharaj Vijayaram Gajapathi Raj College of Engineering (MVGR), Vizianagaram","Maharaj Vijayaram Gajapathi Raj College of Engineering (MVGR), Vizianagaram",Hyderabad,Hyderabad
479,LDRP ITR,LDRP ITR,Ahmedabad,Ahmedabad
482,"Asansol Engg College, Asansol ­ W.B.","Asansol Engg College, Asansol ­ W.B.",Kolkata,Kolkata
484,"Veer Surendra Sai University of Technology, Burla","Veer Surendra Sai University of Technology, Burla",Kolkata,Kolkata
491,Birla Vishwakarma Mahavidyalaya­Anand,Birla Vishwakarma Mahavidyalaya­Anand,Ahmedabad,Ahmedabad
493,GITAM University,GITAM University,Hyderabad,Hyderabad
495,Institute of Technology Patna,National Institute of Technology Patna,National,Kolkata
497,Psna College of Engineering,Psna College of Engineering,Chennai,Chennai
502,Shri Shankaracharya College of Engg,Shri Shankaracharya College of Engg,Mumbai,Mumbai
504,"PIMPRI CHINCHWAD COLLEGE OF ENGG, PUNE","PIMPRI CHINCHWAD COLLEGE OF ENGG, PUNE",Pune,Pune
505,SRI VASAVI INSTITUTE OF ENGINEERING,SRI VASAVI INSTITUTE OF ENGINEERING,Hyderabad,Hyderabad
506,"U V Patel College of Engineering, Kherva","U V Patel College of Engineering, Kherva",Ahmedabad,Ahmedabad
508,"Pragathi College of Engineering, Kakinada","Pragathi College of Engineering, Kakinada",Hyderabad,Hyderabad
515,"GNDU, Regional Campus, Jalandhar JAYPEE INST. OF INFORMATION TECHNOLOGY.","GNDU, Regional Campus, Jalandhar JAYPEE INST. OF INFORMATION TECHNOLOGY.",Delhi,Delhi
516,NOIDA,NOIDA,Delhi,Delhi
517,CET IILM,CET IILM,Delhi,Delhi
518,"SINHGAD INSTITUTE OF TECHNOLOGY AND SCIENCE, NARHE","SINHGAD INSTITUTE OF TECHNOLOGY AND SCIENCE, NARHE",Pune,Pune
519,University of Pune,University of Pune,Pune,Pune
524,GUJARAT TECHNOLOGICAL UNIVERSITY ­ AHEMDABAD,GUJARAT TECHNOLOGICAL UNIVERSITY ­ AHEMDABAD,Ahmedabad,Ahmedabad
537,Bhagalpur College of Engineeringg,Bhagalpur College of Engineeringg,Kolkata,Kolkata
543,"Engineering College, Bikaner","Engineering College, Bikaner",Delhi,Delhi
547,INSTITUTE OF AERONAUTICAL ENGINEERING,INSTITUTE OF AERONAUTICAL ENGINEERING,Hyderabad,Hyderabad
548,SGGS Coll of Engg,SGGS Coll of Engg,Pune,Pune
555,"College of Engineering, Madurai","Thiagarajar College of Engineering, Madurai",Thiagarajar,Chennai
556,Amrita Instt of Technology,Amrita Instt of Technology,Chennai,Chennai
560,"Meghnad Saha Institute of Technology, Kolkata","Meghnad Saha Institute of Technology, Kolkata",Kolkata,Kolkata
567,IIT ­ Delhi,IIT ­ Delhi,Delhi,Delhi
568,B J Medical College,B J Medical College,Ahmedabad,Ahmedabad
572,JAYPEE INST. OF INFORMATION TECHNOLOGY. NOIDA,JAYPEE INST. OF INFORMATION TECHNOLOGY. NOIDA,Delhi,Delhi
579,Other University,Other University,Hyderabad,Hyderabad
580,shankersinh vaghela bapu institute of technology,shankersinh vaghela bapu institute of technology,Ahmedabad,Ahmedabad
584,"Academy of Technology, Kolkata","Academy of Technology, Kolkata",Kolkata,Kolkata
585,MAR BASELIOS COLLEGE OF ENGINEERING AND TECHNOLOGY,MAR BASELIOS COLLEGE OF ENGINEERING AND TECHNOLOGY,Trivandrum,Trivandrum
587,"SAI RAM INSTITUTE OF TECHNOLOGY, CHENNAI","SRI SAI RAM INSTITUTE OF TECHNOLOGY, CHENNAI",SRI,Chennai
592,Technical University,Punjab Technical University,Punjab,Delhi
593,"Bosco Institute of Technology, Mumbai","Don Bosco Institute of Technology, Mumbai",Don,Mumbai
600,Rajagiri School of Engineering,Rajagiri School of Engineering,Trivandrum,Trivandrum
601,Supreme Knowledge Foundation Group of Institutions,Supreme Knowledge Foundation Group of Institutions,Kolkata,Kolkata
602,"Reva Institute of Technology and Management, Bangalore","Reva Institute of Technology and Management, Bangalore",Bangalore,Bangalore
608,GOVERNMENT ENGINEERING COLLEGE ­ KERALA,GOVERNMENT ENGINEERING COLLEGE ­ KERALA,Trivandrum,Trivandrum
613,Sir C.R.R. College of Engg. Eluru,Sir C.R.R. College of Engg. Eluru,Hyderabad,Hyderabad
619,"M.H. Saboo Siddik COE, Mumbai","M.H. Saboo Siddik COE, Mumbai",Mumbai,Mumbai
625,"Indian School of Mines, Dhanbad BHARATI VIDYAPEETH'S COLLEGE OF","Indian School of Mines, Dhanbad BHARATI VIDYAPEETH'S COLLEGE OF",Kolkata,Kolkata
626,"ENGINEERING, NEW DELHI","ENGINEERING, NEW DELHI",Delhi,Delhi
627,Indira Gandhi Delhi Technical University for Women,Indira Gandhi Delhi Technical University for Women,Delhi,Delhi
639,"Engg Coll, Anna Univ.Kavaraipettai","RMK Engg Coll, Anna Univ.Kavaraipettai",RMK,Chennai
642,"Mar Athanasius COE­Kothamangalam, Kerala","Mar Athanasius COE­Kothamangalam, Kerala",Trivandrum,Trivandrum
644,SHRI SHANKARACHARYA INSTITUTE OF PROFESSIONAL MANAGEMENT AND TECHNOLOGY ­ RAIPUR,SHRI SHANKARACHARYA INSTITUTE OF PROFESSIONAL MANAGEMENT AND TECHNOLOGY ­ RAIPUR,Mumbai,Mumbai
647,"Lakshmiah COE, A.P","Koneru Lakshmiah COE, A.P",Koneru,Hyderabad
648,"GNDU, Regional Campus, Gurdaspur","GNDU, Regional Campus, Gurdaspur",Delhi,Delhi
651,Shaheed Bhagat Singh College of Engg.,Shaheed Bhagat Singh College of Engg.,Delhi,Delhi
653,"Govt. College of Engg., Aurangabad.","Govt. College of Engg., Aurangabad.",Pune,Pune
655,NIT Jalandhar,NIT Jalandhar,Delhi,Delhi
659,Siliguri Institute of Technology,Siliguri Institute of Technology,Kolkata,Kolkata
663,"Delhi College of Engg, Delhi","Delhi College of Engg, Delhi",Delhi,Delhi
664,"Bholabhai Patel College of Computer Studies, Gandhinagar, Gujarat","Bholabhai Patel College of Computer Studies, Gandhinagar, Gujarat",Ahmedabad,Ahmedabad
666,"Mailam Engineering College, Chennai","Mailam Engineering College, Chennai",Chennai,Chennai
672,VNR Vignana Jyothi Institute of Engineering,VNR Vignana Jyothi Institute of Engineering,Hyderabad,Hyderabad
675,Bengal Institute of Technology,Bengal Institute of Technology,Kolkata,Kolkata
679,"SIES Graduate School of Technology, Nerul","SIES Graduate School of Technology, Nerul",Mumbai,Mumbai
685,IIT ­ Kharagpur,IIT ­ Kharagpur,Kolkata,Kolkata
686,Feroze Gandhi Institute of Engineering,Feroze Gandhi Institute of Engineering,Lucknow,Lucknow
688,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DESIGN","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DESIGN",Mumbai,Mumbai
690,"Silicon Institute of Technology, Bhubaneswar","Silicon Institute of Technology, Bhubaneswar",Kolkata,Kolkata
691,Institute of Technical Education,Institute of Technical Education,Kolkata,Kolkata
694,SRI KRISHNA COLLEGE OF TECHNOLOGY ­ COIMBATORE,SRI KRISHNA COLLEGE OF TECHNOLOGY ­ COIMBATORE,Chennai,Chennai
697,SRMS College of Engg.,SRMS College of Engg.,Lucknow,Lucknow
699,IIT Roorkee (UOR),IIT Roorkee (UOR),Delhi,Delhi
711,Galgotia's College of Engineering,Galgotia's College of Engineering,Delhi,Delhi
722,RGUKT ­ BASAR,RGUKT ­ BASAR,Hyderabad,Hyderabad
726,"Pillai's Institute of Information Tech, New Panvel","Pillai's Institute of Information Tech, New Panvel",Mumbai,Mumbai
736,COE ­ Osmania Univ.,COE ­ Osmania Univ.,Hyderabad,Hyderabad
741,Guru Nanak Institute of Technology,Guru Nanak Institute of Technology,Kolkata,Kolkata
744,LDRP,LDRP,Ahmedabad,Ahmedabad
751,C.V.Raman College of Engg. Bhubaneswar,C.V.Raman College of Engg. Bhubaneswar,Kolkata,Kolkata
754,Chitkara Institute of Engineering,Chitkara Institute of Engineering,Delhi,Delhi
758,"Amal Jyothi College of Engineering, Kottayam","Amal Jyothi College of Engineering, Kottayam",Trivandrum,Trivandrum
761,I.T.S Engineering College,I.T.S Engineering College,Delhi,Delhi
770,"SHRI SHANKARACHARYA ENGINEERING COLLEGE, BHILAI","SHRI SHANKARACHARYA ENGINEERING COLLEGE, BHILAI",Mumbai,Mumbai
774,MEDICAPS INSTITUE OF SCIENCE AND TECHNOLOGY,MEDICAPS INSTITUE OF SCIENCE AND TECHNOLOGY,Mumbai,Mumbai
776,"J. N. T. U. College of Engg., Kakinada","J. N. T. U. College of Engg., Kakinada",Hyderabad,Hyderabad
777,BP Poddar Inst for Engg,BP Poddar Inst for Engg,Kolkata,Kolkata
778,"Bapatla Engineering College, Bapatla","Bapatla Engineering College, Bapatla",Hyderabad,Hyderabad
781,"Terna Engineering College, Nerul","Terna Engineering College, Nerul",Mumbai,Mumbai
782,"UP Technical University, Lucknow","UP Technical University, Lucknow",Delhi,Delhi
784,Gokaraju Rangaraju Institute of Engg.,Gokaraju Rangaraju Institute of Engg.,Hyderabad,Hyderabad
785,Durgapur Institute of Advanced Technology,Durgapur Institute of Advanced Technology,Kolkata,Kolkata
789,"Model Engineering College, Cochin.","Model Engineering College, Cochin.",Trivandrum,Trivandrum
793,"PUNE INSTITUTE OF COMPUTER TECHNOLOGY, PUNE","PUNE INSTITUTE OF COMPUTER TECHNOLOGY, PUNE",Pune,Pune
794,Future Institute of Engg,Future Institute of Engg,Lucknow,Lucknow
795,"COE, Bangalore","B.M.S. COE, Bangalore",B.M.S.,Bangalore
798,"Swami Keshvanand Institute of Technology, Management and Gramothan, Ramnagaria","Swami Keshvanand Institute of Technology, Management and Gramothan, Ramnagaria",Delhi,Delhi
799,"Mepco­Schelenk,Sivakasi","Mepco­Schelenk,Sivakasi",Chennai,Chennai
807,ABV Indian Institute of Information Technology and Management,ABV Indian Institute of Information Technology and Management,Delhi,Delhi
812,Sreenidhi Instt. of Sc,Sreenidhi Instt. of Sc,Hyderabad,Hyderabad
826,Maharishi Dayanand University ­ Rohtak,Maharishi Dayanand University ­ Rohtak,Delhi,Delhi
827,"Oriental College of Technology, Bhopal","Oriental College of Technology, Bhopal",Mumbai,Mumbai
835,NIT ­ Rourkela,NIT ­ Rourkela,Kolkata,Kolkata
837,"Rungta College of Engineering and Technology, Bhilai","Rungta College of Engineering and Technology, Bhilai",Mumbai,Mumbai
