,college_name,college_name_modified,tcs_region,tcs_region_modified
2727,vasireddy venkatadri institute of technology,vasireddy venkatadri institute of technology,Pune,Pune
2749,"Maharashtra Institute of Technology, Pune","Maharashtra Institute of Technology, Pune",Pune,Pune
2753,SIDDHARTH INSTITUTE OF ENGINEERING,SIDDHARTH INSTITUTE OF ENGINEERING,Hyderabad,Hyderabad
2760,MALLA REDDY ENGINEERING COLLEGE,MALLA REDDY ENGINEERING COLLEGE,Hyderabad,Hyderabad
2774,"University, Warangal","Kakatiya University, Warangal",Kakatiya,Hyderabad
2779,SDM COLL OF ENGG,SDM COLL OF ENGG,Bangalore,Bangalore
2785,"PES COLLEGE OF ENGINEERING, MANDYA","PES COLLEGE OF ENGINEERING, MANDYA",Bangalore,Bangalore
2807,SNS College of Technology,SNS College of Technology,Chennai,Chennai
2834,Babu Banarasi Das Northern India Institute of Technology,Babu Banarasi Das Northern India Institute of Technology,Lucknow,Lucknow
2836,Institute Of Aeronautical Engineering,Institute Of Aeronautical Engineering,Hyderabad,Hyderabad
2839,Sri Chandrasekharendra Saraswathiviswa,Sri Chandrasekharendra Saraswathiviswa,Chennai,Chennai
2856,BVRIT HYDERABAD,BVRIT HYDERABAD,Hyderabad,Hyderabad
2857,KJEI'S KJ College of Engineering And Management Research,KJEI'S KJ College of Engineering And Management Research,Pune,Pune
2859,Indraprastha University,Indraprastha University,Delhi,Delhi
2875,VIGNAN'S LARA INSTITUTE FOR SCIENCE AND TECHNOLOGY,VIGNAN'S LARA INSTITUTE FOR SCIENCE AND TECHNOLOGY,Hyderabad,Hyderabad
2879,MAR BASELIOS INSTITUTE OF TECHNOLOGY AND SCIENCE(MBITS),MAR BASELIOS INSTITUTE OF TECHNOLOGY AND SCIENCE(MBITS),Trivandrum,Trivandrum
2880,Other Technical School,Other Technical School,Hyderabad,Hyderabad
2881,"Faculty of Technology, M S University","Faculty of Technology, M S University",Ahmedabad,Ahmedabad
2883,"JAI NARAIN COLLEGE OF TECHNOLOGY, BHOPAL","JAI NARAIN COLLEGE OF TECHNOLOGY, BHOPAL",Mumbai,Mumbai
2890,United Institute Of Technology,United Institute Of Technology,Lucknow,Lucknow
2898,Easwari Engg College,Easwari Engg College,Chennai,Chennai
2909,Marwadi Education Foundation Rajkot,Marwadi Education Foundation Rajkot,Ahmedabad,Ahmedabad
2911,"Institute Of Technology,Agiripalli","NRI Institute Of Technology,Agiripalli",NRI,Hyderabad
2944,"Sagar Institute of Research and Technology, Bhopal","Sagar Institute of Research and Technology, Bhopal",Mumbai,Mumbai
2968,"gandhi institute for technological advancement, bhubaneswar","gandhi institute for technological advancement, bhubaneswar",Kolkata,Kolkata
2969,Hindustan Institute of Technology and Science,Hindustan Institute of Technology and Science,Chennai,Chennai
2972,"Engg. College, A P","Gudlavalleru Engg. College, A P",Gudlavalleru,Hyderabad
2979,"WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR","WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",Pune,Pune
3040,"Rungta College of Engineering and Technology, Raipur","Rungta College of Engineering and Technology, Raipur",Mumbai,Mumbai
3045,"Jamia Hamdard University, Delhi","Jamia Hamdard University, Delhi",Delhi,Delhi
3060,"Engineering College, Chennai","Bharath Engineering College, Chennai",Bharath,Chennai
3071,"Shri Vishnu Engineering College for Women, Vishnupur","Shri Vishnu Engineering College for Women, Vishnupur",Hyderabad,Hyderabad
3078,IIIT­ BHUBANESWAR,IIIT­ BHUBANESWAR,Kolkata,Kolkata
3081,institution of aeronautical engineering,institution of aeronautical engineering,Hyderabad,Hyderabad
3103,Psg Institute Of Technology And Applied Research,Psg Institute Of Technology And Applied Research,Chennai,Chennai
3105,"Jaipur National University,Jaipur","Jaipur National University,Jaipur",Delhi,Delhi
3111,Acropolis Tecnical Campus,Acropolis Tecnical Campus,Mumbai,Mumbai
3119,KLES Coll of Engg,KLES Coll of Engg,Bangalore,Bangalore
3125,"RK UNIVERSITY,GUJARAT","RK UNIVERSITY,GUJARAT",Ahmedabad,Ahmedabad
3151,Ldrp Itr Gandhinagar,Ldrp Itr Gandhinagar,Ahmedabad,Ahmedabad
3155,"Amrita School of Arts and Sciences, Mysuru","Amrita School of Arts and Sciences, Mysuru",Bangalore,Bangalore
3167,Amritsar College Of Engineering And Technology,Amritsar College Of Engineering And Technology,Delhi,Delhi
3181,HASMUKH GOSWAMI COLLEGE OF ENGINEERING VAHELAL AHMEDABAD,HASMUKH GOSWAMI COLLEGE OF ENGINEERING VAHELAL AHMEDABAD,Ahmedabad,Ahmedabad
3188,Swami Shraddhanand College University of Delhi,Swami Shraddhanand College University of Delhi,Delhi,Delhi
3210,St.Martin's Engineering College,St.Martin's Engineering College,Hyderabad,Hyderabad
3213,D.Y. Patil Institute of Engineering Management,D.Y. Patil Institute of Engineering Management,Pune,Pune
3229,"Samrat Ashok Technological Instt., Vidisha(M.P.)","Samrat Ashok Technological Instt., Vidisha(M.P.)",Mumbai,Mumbai
3233,ies college of technology bhopal mp,ies college of technology bhopal mp,Mumbai,Mumbai
3235,"sri vasavi institute of engineering and technology, nandamuru, krishna district, ap","sri vasavi institute of engineering and technology, nandamuru, krishna district, ap",Hyderabad,Hyderabad
3246,Nehru Group of Institutions,Nehru Group of Institutions,Trivandrum,Trivandrum
3247,"VVP Engineering College, Rajkot.","VVP Engineering College, Rajkot.",Ahmedabad,Ahmedabad
3248,BVRIT HYDERABAD College of engineering for women,BVRIT HYDERABAD College of engineering for women,Hyderabad,Hyderabad
3261,Hindusthan College Of Engineering And Technology,Hindusthan College Of Engineering And Technology,Chennai,Chennai
3269,"SINHGAD ACADEMY OF ENGINEERING, PUNE","SINHGAD ACADEMY OF ENGINEERING, PUNE",Pune,Pune
3271,Anand Engineering College,Anand Engineering College,Delhi,Delhi
3303,ldrp itr gandhinagar,ldrp itr gandhinagar,Ahmedabad,Ahmedabad
3330,Shri Ramswarooop Memorial University,Shri Ramswarooop Memorial University,Lucknow,Lucknow
3341,"University of Engineering, Kolkata","University of Engineering, Kolkata",Kolkata,Kolkata
3348,"Jaipur National University, Jaipur","Jaipur National University, Jaipur",Delhi,Delhi
3360,sr engineering college,sr engineering college,Hyderabad,Hyderabad
3367,Govt. College of Engineering ­ Karad,Govt. College of Engineering ­ Karad,Pune,Pune
3385,Silver Oak College of Engineering and Technology,Silver Oak College of Engineering and Technology,Ahmedabad,Ahmedabad
3388,NARAINA VIDYA PEETH ENGINEERING AND MANAGEMENT INSTITUTE,NARAINA VIDYA PEETH ENGINEERING AND MANAGEMENT INSTITUTE,Lucknow,Lucknow
3392,"J.N.T.U.A. College of Engineering, Pulivendula","J.N.T.U.A. College of Engineering, Pulivendula",Hyderabad,Hyderabad
3413,DARSHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,DARSHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,Ahmedabad,Ahmedabad
3415,"University LAKSHMI NARAIN COLLEGE OF TECHNOLOGY,","University LAKSHMI NARAIN COLLEGE OF TECHNOLOGY,",Delhi,Delhi
3416,INDORE,INDORE,Mumbai,Mumbai
3457,SAFFRONY INSTITUTE OF TECHNOLOGY,SAFFRONY INSTITUTE OF TECHNOLOGY,Ahmedabad,Ahmedabad
3466,D. J. Sanghvi College of Engg ­ Mumbai SIDDHARTH INSTITUTE OF ENGINEERING,D. J. Sanghvi College of Engg ­ Mumbai SIDDHARTH INSTITUTE OF ENGINEERING,Mumbai,Mumbai
3467,,TECHNOLOGY nan,TECHNOLOGY,Hyderabad
3481,"Sethu Institute of Technology, Kariapatti","Sethu Institute of Technology, Kariapatti",Chennai,Chennai
3516,LENDI INSTITUTE OF ENGINEEERING AND TECHNOLOGY,LENDI INSTITUTE OF ENGINEEERING AND TECHNOLOGY,Hyderabad,Hyderabad
3521,RVS College of Arts and Science,RVS College of Arts and Science,Chennai,Chennai
3523,Bharat College of Enginnering,Bharat College of Enginnering,Mumbai,Mumbai
3561,cmr college of engineering and technology,cmr college of engineering and technology,Hyderabad,Hyderabad
3572,"Fr. Conceicao Rodrigues Instt of Technology, Vashi SAGAR INSTITUTE OF RESEARCH, TECHNOLOGY","Fr. Conceicao Rodrigues Instt of Technology, Vashi SAGAR INSTITUTE OF RESEARCH, TECHNOLOGY",Mumbai,Mumbai
3573,"AND SCIENCE, BHOPAL","AND SCIENCE, BHOPAL",Mumbai,Mumbai
3597,"St. Martin's Engineering College, Dhulapalli","St. Martin's Engineering College, Dhulapalli",Hyderabad,Hyderabad
3603,INDUS UNIVERSITY,INDUS UNIVERSITY,Ahmedabad,Ahmedabad
3638,St. Joseph Engineering College. Mangalore Karnataka,St. Joseph Engineering College. Mangalore Karnataka,Bangalore,Bangalore
3641,"VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY, NAMBURU","VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY, NAMBURU",Hyderabad,Hyderabad
3661,Marwadi Education Foundation Group Of Institute,Marwadi Education Foundation Group Of Institute,Ahmedabad,Ahmedabad
3671,"Guru Nanak Dev Engineering College, Ludhiana","Guru Nanak Dev Engineering College, Ludhiana",Delhi,Delhi
3683,"Bharathi Vidyapeeth COE, Navi Mumbai","Bharathi Vidyapeeth COE, Navi Mumbai",Pune,Pune
3691,"TECHNOCRATS INSTITUTE OF TECHNOLOGY (EXCELLENCE), BHOPAL","TECHNOCRATS INSTITUTE OF TECHNOLOGY (EXCELLENCE), BHOPAL",Mumbai,Mumbai
3704,Agni College of Technology,Agni College of Technology,Chennai,Chennai
3716,"Institute of Tech,Tumkur","Siddaganga Institute of Tech,Tumkur",Siddaganga,Bangalore
3771,bharati vidyapeeths college of engineering lavale pune mh,bharati vidyapeeths college of engineering lavale pune mh,Pune,Pune
3779,"Institute of Professional Studies (IPS Academy), Indore","Institute of Professional Studies (IPS Academy), Indore",Mumbai,Mumbai
3781,G Pullaiah College Of Engineering And Technology,G Pullaiah College Of Engineering And Technology,Hyderabad,Hyderabad
3801,"RAO BAHADUR Y MAHABALESWARAPPA ENGINEERING COLLEGE, BELLARY","RAO BAHADUR Y MAHABALESWARAPPA ENGINEERING COLLEGE, BELLARY",Bangalore,Bangalore
3815,­ Trivandrum,COE ­ Trivandrum,COE,Trivandrum
3818,KKR,KKR,Hyderabad,Hyderabad
3821,Dronacharya College of Engineering,Dronacharya College of Engineering,Delhi,Delhi
3824,KNOWLEDGE INSTITUTE OF TECHNOLOGY,KNOWLEDGE INSTITUTE OF TECHNOLOGY,Chennai,Chennai
3826,Basaveshwar Engg College­ Bagalkot,Basaveshwar Engg College­ Bagalkot,Bangalore,Bangalore
3835,Vishveshwarya Institute of Engineering,Vishveshwarya Institute of Engineering,Delhi,Delhi
3843,Kanpur Institute Of Technology,Kanpur Institute Of Technology,Lucknow,Lucknow
3847,RVS Arts,RVS Arts,Trivandrum,Trivandrum
3848,Chamei Devi Group Of Institutions,Chamei Devi Group Of Institutions,Mumbai,Mumbai
3849,Banaras Hindu Univ Dept of Comp Sc,Banaras Hindu Univ Dept of Comp Sc,Lucknow,Lucknow
3875,Vivekanandha college of technology for women,Vivekanandha college of technology for women,Chennai,Chennai
3876,LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Hyderabad,Hyderabad
3884,PVG's College of Engineering,PVG's College of Engineering,Pune,Pune
3890,Jawaharlal Nehru Technological University A. P,Jawaharlal Nehru Technological University A. P,Hyderabad,Hyderabad
3915,"Sri Sairam College of Engineering, Bangalore","Sri Sairam College of Engineering, Bangalore",Bangalore,Bangalore
3919,College of Applied Sciences (I.H.R.D.E) Calicut,College of Applied Sciences (I.H.R.D.E) Calicut,Trivandrum,Trivandrum
3920,"Kamla Nehru Engg College, Nagpur University","Kamla Nehru Engg College, Nagpur University",Mumbai,Mumbai
3926,"Computer Science Dept, Univ of Pune","Computer Science Dept, Univ of Pune",Pune,Pune
3940,global group of institututions,global group of institututions,Mumbai,Mumbai
3955,Jyothi engineering college,Jyothi engineering college,Trivandrum,Trivandrum
4001,"SAGAR INSTITUTE OF RESEARCH, TECHNOLOGY AND SCIENCE, BHOPAL","SAGAR INSTITUTE OF RESEARCH, TECHNOLOGY AND SCIENCE, BHOPAL",Mumbai,Mumbai
4004,University College of Science and Technology (University of Calcutta),University College of Science and Technology (University of Calcutta),Kolkata,Kolkata
4021,"Andhra Loyola College, Vijayawada","Andhra Loyola College, Vijayawada",Hyderabad,Hyderabad
4039,Bansal Inst. of Science,Bansal Inst. of Science,Mumbai,Mumbai
4051,Vasireddy venkatadri Institute Of Technology,Vasireddy venkatadri Institute Of Technology,Hyderabad,Hyderabad
4066,MAHARASHTRA EDUCATION SOCIETY'S INSTITUTE OF MANAGEMENT,MAHARASHTRA EDUCATION SOCIETY'S INSTITUTE OF MANAGEMENT,Pune,Pune
4098,NSHM Knowledge Campus,NSHM Knowledge Campus,Kolkata,Kolkata
4105,University,Pondicherry University,Pondicherry,Chennai
4115,Manipal University Jaipur,Manipal University Jaipur,Delhi,Delhi
4140,"BLDEA's College of Engineering, Bijapur­Karnataka","BLDEA's College of Engineering, Bijapur­Karnataka",Bangalore,Bangalore
